path,text
audio/sample1.wav,usa
audio/sample2.wav,duha
audio/sample3.wav,tulo tulo
audio/sample4.wav,upat
audio/sample5.wav,lima singko
audio/sample6.wav,unom kabuok
audio/sample7.wav,pito siyete
audio/sample8.wav,otso walo
audio/sample9.wav,siyam nuybe
audio/sample10.wav,pulo kabuok
audio/sample11.wav,ensamada
audio/sample12.wav,ensaymada ensaymada
audio/sample13.wav,slice bread
audio/sample14.wav,slice bread special
audio/sample15.wav,shakoy
audio/sample16.wav,naa moi donut naa moi donut
audio/sample17.wav,yoyo
audio/sample18.wav,papalita ko ug francis
audio/sample19.wav,francis
audio/sample20.wav,ensaymada
audio/sample21.wav,pandesal
audio/sample22.wav,cheese bread
audio/sample23.wav,fig pie
audio/sample24.wav,spanish bread
audio/sample25.wav,pan de coco
audio/sample26.wav,monay
audio/sample27.wav,mamon
audio/sample28.wav,siopao
audio/sample29.wav,ube bread
audio/sample30.wav,egg bread
audio/sample31.wav,uno
audio/sample32.wav,dos
audio/sample33.wav,tres
audio/sample34.wav,kuatro
audio/sample35.wav,singko
audio/sample36.wav,sais
audio/sample37.wav,siyete
audio/sample38.wav,otso
audio/sample39.wav,nuybe
audio/sample40.wav,dyes
audio/sample41.wav,onsi
audio/sample42.wav,dosi
audio/sample43.wav,tresi
audio/sample44.wav,katorsi
audio/sample45.wav,kinsi
audio/sample46.wav,desi sais
audio/sample47.wav,desi siyete
audio/sample48.wav,desi otso
audio/sample49.wav,desi nuybe
audio/sample50.wav,baynte
audio/sample51.wav,crinkles
audio/sample52.wav,moon cake
audio/sample53.wav,burikat
audio/sample54.wav,monay
audio/sample55.wav,shakoy
audio/sample56.wav,siopao
audio/sample57.wav,egg bread
audio/sample58.wav,pan de coco
audio/sample59.wav,pan de julia
audio/sample60.wav,pan de leche
audio/sample61.wav,pandesal
audio/sample62.wav,king roll
audio/sample63.wav,cheese bread
audio/sample64.wav,fig pie
audio/sample65.wav,mamon
audio/sample66.wav,garlic bread
audio/sample67.wav,donut
audio/sample68.wav,donut
audio/sample69.wav,yoyo
audio/sample70.wav,cinnamon bread
audio/sample71.wav,usa
audio/sample72.wav,duha
audio/sample73.wav,tulo
audio/sample74.wav,upat
audio/sample75.wav,lima
audio/sample76.wav,unom
audio/sample77.wav,pito
audio/sample78.wav,walo
audio/sample79.wav,siyam
audio/sample80.wav,pulo
audio/sample81.wav,napulog usa
audio/sample82.wav,napulog duha
audio/sample83.wav,napulog tulo
audio/sample84.wav,napulog upat
audio/sample85.wav,napulog lima
audio/sample86.wav,napulog unom
audio/sample87.wav,napulog pito
audio/sample88.wav,napulog walo
audio/sample89.wav,napulog siyam
audio/sample90.wav,baynte
audio/sample91.wav,baynte uno
audio/sample92.wav,baynte dos
audio/sample93.wav,baynte tres
audio/sample94.wav,baynte kuatro
audio/sample95.wav,baynte singko
audio/sample96.wav,baynte sais
audio/sample97.wav,baynte siyete
audio/sample98.wav,baynte otso
audio/sample99.wav,baynte nuybe
audio/sample100.wav,traynta
