path,text,source,duration_sec
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00000.wav,naa koy surpresa nimo,synthetic,2.432
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00001.wav,kinahanglan na ta manglakaw,synthetic,2.784
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00002.wav,unsay imong hunahuna niininaglupad nga sakyanan,synthetic,4.112
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00003.wav,dali na,synthetic,1.232
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00004.wav,ug mao na ang katingala,synthetic,2.592
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00005.wav,nakuha nako ang gusto nimo isulti,synthetic,3.872
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00006.wav,unsay imong gisulti,synthetic,2.464
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00007.wav,you know what,synthetic,1.904
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00008.wav,mao namao na,synthetic,1.984
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00009.wav,pahawa gikan kanako,synthetic,2.544
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00010.wav,ako ang nagdumala niini nga sitwasyon,synthetic,4.24
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00011.wav,dinhi nato iparada,synthetic,2.688
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00012.wav,oh my god,synthetic,1.408
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00013.wav,wala ko naghalok ug unlan,synthetic,2.736
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00014.wav,oh my god,synthetic,1.504
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00015.wav,paminaw,synthetic,1.344
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00016.wav,lima pa ka minuto niini,synthetic,2.784
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00017.wav,anaa ka,synthetic,1.296
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00018.wav,daghang klaro,synthetic,2.016
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00019.wav,wala ko kahibalo,synthetic,2.272
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00020.wav,aduna ka bay ideya kon unsa kataas ang mga pusta nga makuha didto,synthetic,5.808
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00021.wav,buhaton ko unya,synthetic,2.368
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00022.wav,knock,synthetic,1.04
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00023.wav,gihatagan ko sa akong manager og usa ka oras para sa paniudto,synthetic,6.336
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00024.wav,holy crap,synthetic,1.632
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00025.wav,husto na,synthetic,1.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00026.wav,daghan ka pangutana,synthetic,2.48
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00027.wav,maayo ra,synthetic,1.424
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00028.wav,sakit kaayo ko,synthetic,2.224
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00029.wav,ayaw kabalaka bahin niini,synthetic,3.008
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00030.wav,dili kay nangutana ka,synthetic,2.688
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00031.wav,adunay usa lang ka problema,synthetic,2.752
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00032.wav,adunay mga paagi aron makabalik,synthetic,3.376
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00033.wav,ibutang sila sa sulod didto,synthetic,2.88
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00034.wav,ang tinuod mao,synthetic,2.256
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00035.wav,dagan,synthetic,1.04
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00036.wav,robots ra sila,synthetic,1.696
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00037.wav,dili sila mga robot,synthetic,2.48
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00038.wav,paghulagway kini,synthetic,2.16
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00039.wav,ikaw si ben,synthetic,1.904
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00040.wav,ang kuwadrado nga gamot sa pi,synthetic,3.408
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00041.wav,holy cow,synthetic,1.504
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00042.wav,full disclosure,synthetic,2.16
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00043.wav,ayaw siya dayega karon,synthetic,2.896
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00044.wav,akong gihunahuna ang tibuuk nga punto sa ang pagbaton og iro kay mobati nga labaw,synthetic,6.784
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00045.wav,snuffles,synthetic,1.456
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00046.wav,talagsaon kana,synthetic,2.08
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00047.wav,kini usa ka gamit,synthetic,2.288
C:\Users\Kyle\Desktop\bisaya-stt-module\data\synthetic\audio\synthetic_00048.wav,husto kana,synthetic,1.776
